Date : 2025-05-23 16:43:18
Directory : c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb
Total : 298 files,  35336 codes, 4807 comments, 5072 blanks, all 45215 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap-utilities.scss                  | SCSS       |          6 |          9 |          4 |         19 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\bootstrap.scss                            | SCSS       |         36 |         12 |          5 |         53 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_floating-labels.scss               | SCSS       |         51 |          4 |          7 |         62 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-check.scss                    | SCSS       |        119 |          9 |         25 |        153 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-control.scss                  | SCSS       |        156 |         33 |         31 |        220 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-range.scss                    | SCSS       |         71 |          7 |         14 |         92 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-select.scss                   | SCSS       |         54 |          6 |          8 |         68 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_form-text.scss                     | SCSS       |          7 |          3 |          2 |         12 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_input-group.scss                   | SCSS       |         81 |         21 |         20 |        122 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_labels.scss                        | SCSS       |         27 |          5 |          5 |         37 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\forms\_validation.scss                    | SCSS       |          3 |          8 |          2 |         13 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_clearfix.scss                    | SCSS       |          3 |          0 |          1 |          4 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_colored-links.scss               | SCSS       |         11 |          0 |          2 |         13 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_position.scss                    | SCSS       |         24 |          2 |          5 |         31 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_ratio.scss                       | SCSS       |         21 |          1 |          5 |         27 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_stretched-link.scss              | SCSS       |         11 |          3 |          2 |         16 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_text-truncation.scss             | SCSS       |          3 |          3 |          2 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_visually-hidden.scss             | SCSS       |          4 |          3 |          2 |          9 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_alert.scss                        | SCSS       |          8 |          2 |          2 |         12 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_border-radius.scss                | SCSS       |         63 |          5 |         11 |         79 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_box-shadow.scss                   | SCSS       |         16 |          0 |          3 |         19 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_breakpoints.scss                  | SCSS       |         73 |         44 |         11 |        128 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_buttons.scss                      | SCSS       |        104 |         16 |         14 |        134 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_caret.scss                        | SCSS       |         55 |          2 |          8 |         65 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_clearfix.scss                     | SCSS       |          7 |          2 |          1 |         10 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_color-scheme.scss                 | SCSS       |          5 |          2 |          1 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_container.scss                    | SCSS       |          7 |          1 |          2 |         10 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_deprecate.scss                    | SCSS       |          5 |          5 |          1 |         11 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_forms.scss                        | SCSS       |        116 |          5 |         17 |        138 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_gradients.scss                    | SCSS       |         27 |         11 |         10 |         48 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_grid.scss                         | SCSS       |         88 |         21 |         17 |        126 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_image.scss                        | SCSS       |          4 |          9 |          4 |         17 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_list-group.scss                   | SCSS       |         18 |          3 |          4 |         25 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_lists.scss                        | SCSS       |          4 |          2 |          2 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_pagination.scss                   | SCSS       |         24 |          4 |          4 |         32 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_reset-text.scss                   | SCSS       |         16 |          1 |          1 |         18 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_resize.scss                       | SCSS       |          4 |          1 |          2 |          7 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_table-variants.scss               | SCSS       |         17 |          2 |          3 |         22 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_text-truncate.scss                | SCSS       |          5 |          2 |          2 |          9 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_transition.scss                   | SCSS       |         22 |          1 |          4 |         27 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_utilities.scss                    | SCSS       |         45 |         11 |         13 |         69 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_visually-hidden.scss              | SCSS       |         16 |          9 |          5 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\utilities\_api.scss                       | SCSS       |         29 |         12 |          7 |         48 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\vendor\_rfs.scss                          | SCSS       |        202 |         52 |         59 |        313 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\css\app.css                                                | PostCSS    |          3 |          0 |          1 |          4 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\js\app.js                                                  | JavaScript |          6 |         25 |          9 |         40 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\js\bootstrap.js                                            | JavaScript |          4 |         23 |          8 |         35 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\js\components\ExampleComponent.vue                         | vue        |         21 |          0 |          3 |         24 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\sass\_variables.scss                                       | SCSS       |          4 |          2 |          2 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\sass\app.scss                                              | SCSS       |          3 |          3 |          3 |          9 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap.scss                                        | SCSS       |         15 |          1 |         12 |         28 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_accordion.scss                        | SCSS       |         89 |          8 |         22 |        119 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_alert.scss                            | SCSS       |         34 |         13 |         11 |         58 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_badge.scss                            | SCSS       |         20 |          6 |          4 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_breadcrumb.scss                       | SCSS       |         24 |          1 |          4 |         29 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_button-group.scss                     | SCSS       |         90 |         23 |         27 |        140 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_buttons.scss                          | SCSS       |         74 |         16 |         22 |        112 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_card.scss                             | SCSS       |        153 |         27 |         36 |        216 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_carousel.scss                         | SCSS       |        158 |         41 |         31 |        230 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_close.scss                            | SCSS       |         30 |          5 |          6 |         41 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_containers.scss                       | SCSS       |         27 |          8 |          7 |         42 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_dropdown.scss                         | SCSS       |        186 |         19 |         36 |        241 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_forms.scss                            | SCSS       |          9 |          0 |          1 |         10 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_functions.scss                        | SCSS       |        133 |         38 |         35 |        206 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_grid.scss                             | SCSS       |         11 |          6 |          6 |         23 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_helpers.scss                          | SCSS       |          7 |          0 |          1 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_images.scss                           | SCSS       |         22 |         13 |          8 |         43 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_list-group.scss                       | SCSS       |        111 |         27 |         37 |        175 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_mixins.scss                           | SCSS       |         25 |         10 |          8 |         43 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_modal.scss                            | SCSS       |        160 |         35 |         34 |        229 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_nav.scss                              | SCSS       |         96 |         20 |         24 |        140 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_navbar.scss                           | SCSS       |        204 |         47 |         56 |        307 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_offcanvas.scss                        | SCSS       |         68 |          0 |         10 |         78 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_pagination.scss                       | SCSS       |         51 |          3 |         11 |         65 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_popover.scss                          | SCSS       |        134 |          5 |         20 |        159 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_progress.scss                         | SCSS       |         39 |          3 |          7 |         49 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_reboot.scss                           | SCSS       |        334 |        146 |        142 |        622 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_root.scss                             | SCSS       |         11 |          3 |          3 |         17 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_spinners.scss                         | SCSS       |         49 |         12 |          9 |         70 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_tables.scss                           | SCSS       |         78 |         43 |         30 |        151 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_toasts.scss                           | SCSS       |         44 |          0 |          8 |         52 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_tooltip.scss                          | SCSS       |         93 |          5 |         18 |        116 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_transitions.scss                      | SCSS       |         16 |          2 |          4 |         22 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_type.scss                             | SCSS       |         67 |         16 |         22 |        105 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_utilities.scss                        | SCSS       |        551 |         41 |          3 |        595 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_variables.scss                        | SCSS       |        955 |        231 |        279 |      1,465 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\bootstrap-grid.scss                    | SCSS       |         50 |          8 |          8 |         66 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\bootstrap-reboot.scss                  | SCSS       |          6 |          8 |          2 |         16 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\bootstrap-utilities.scss               | SCSS       |          6 |          9 |          4 |         19 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\bootstrap.scss                         | SCSS       |         36 |         12 |          5 |         53 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_floating-labels.scss            | SCSS       |         51 |          4 |          7 |         62 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_form-check.scss                 | SCSS       |        119 |          9 |         25 |        153 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_form-control.scss               | SCSS       |        156 |         33 |         31 |        220 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_form-range.scss                 | SCSS       |         71 |          7 |         14 |         92 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_form-select.scss                | SCSS       |         54 |          6 |          8 |         68 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_form-text.scss                  | SCSS       |          7 |          3 |          2 |         12 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_input-group.scss                | SCSS       |         81 |         21 |         20 |        122 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_labels.scss                     | SCSS       |         27 |          5 |          5 |         37 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\forms\_validation.scss                 | SCSS       |          3 |          8 |          2 |         13 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\helpers\_clearfix.scss                 | SCSS       |          3 |          0 |          1 |          4 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\helpers\_colored-links.scss            | SCSS       |         11 |          0 |          2 |         13 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\helpers\_position.scss                 | SCSS       |         24 |          2 |          5 |         31 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\helpers\_ratio.scss                    | SCSS       |         21 |          1 |          5 |         27 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\helpers\_stretched-link.scss           | SCSS       |         11 |          3 |          2 |         16 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\helpers\_text-truncation.scss          | SCSS       |          3 |          3 |          2 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\helpers\_visually-hidden.scss          | SCSS       |          4 |          3 |          2 |          9 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_alert.scss                     | SCSS       |          8 |          2 |          2 |         12 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_border-radius.scss             | SCSS       |         63 |          5 |         11 |         79 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_box-shadow.scss                | SCSS       |         16 |          0 |          3 |         19 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_breakpoints.scss               | SCSS       |         73 |         44 |         11 |        128 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_buttons.scss                   | SCSS       |        104 |         16 |         14 |        134 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_caret.scss                     | SCSS       |         55 |          2 |          8 |         65 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_clearfix.scss                  | SCSS       |          7 |          2 |          1 |         10 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_color-scheme.scss              | SCSS       |          5 |          2 |          1 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_container.scss                 | SCSS       |          7 |          1 |          2 |         10 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_deprecate.scss                 | SCSS       |          5 |          5 |          1 |         11 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_forms.scss                     | SCSS       |        116 |          5 |         17 |        138 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_gradients.scss                 | SCSS       |         27 |         11 |         10 |         48 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_grid.scss                      | SCSS       |         88 |         21 |         17 |        126 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_image.scss                     | SCSS       |          4 |          9 |          4 |         17 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_list-group.scss                | SCSS       |         18 |          3 |          4 |         25 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_lists.scss                     | SCSS       |          4 |          2 |          2 |          8 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_pagination.scss                | SCSS       |         24 |          4 |          4 |         32 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_reset-text.scss                | SCSS       |         16 |          1 |          1 |         18 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_resize.scss                    | SCSS       |          4 |          1 |          2 |          7 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_table-variants.scss            | SCSS       |         17 |          2 |          3 |         22 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_text-truncate.scss             | SCSS       |          5 |          2 |          2 |          9 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_transition.scss                | SCSS       |         22 |          1 |          4 |         27 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_utilities.scss                 | SCSS       |         45 |         11 |         13 |         69 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\mixins\_visually-hidden.scss           | SCSS       |         16 |          9 |          5 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\utilities\_api.scss                    | SCSS       |         29 |         12 |          7 |         48 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\vendor\_rfs.scss                       | SCSS       |        202 |         52 |         59 |        313 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\admin_users\analytics.blade.php                      | PHP        |         82 |          6 |         10 |         98 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\admin_users\create.blade.php                         | PHP        |         12 |          0 |          3 |         15 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\admin_users\edit.blade.php                           | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\admin_users\form.blade.php                           | PHP        |         23 |          0 |          7 |         30 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\admin_users\index.blade.php                          | PHP        |         50 |          0 |          5 |         55 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\auth\login.blade.php                                 | PHP        |        162 |          4 |         26 |        192 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\auth\passwords\confirm.blade.php                     | PHP        |         41 |          0 |          9 |         50 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\auth\passwords\email.blade.php                       | PHP        |         40 |          0 |          8 |         48 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\auth\passwords\reset.blade.php                       | PHP        |         53 |          0 |         13 |         66 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\auth\register.blade.php                              | PHP        |        180 |          1 |         34 |        215 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\auth\verify.blade.php                                | PHP        |         25 |          0 |          4 |         29 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\brands\create.blade.php                              | PHP        |         51 |          0 |          8 |         59 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\brands\index.blade.php                               | PHP        |         74 |          2 |          8 |         84 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\brands\show.blade.php                                | PHP        |         56 |          0 |          4 |         60 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\brands\show2.blade.php                               | PHP        |         42 |          0 |          2 |         44 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\cars\create.blade.php                                | PHP        |         93 |          0 |         13 |        106 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\cars\index.blade.php                                 | PHP        |         85 |          6 |          9 |        100 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\cars\my_liked.blade.php                              | PHP        |         78 |          2 |         11 |         91 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\cars\show.blade.php                                  | PHP        |        146 |          0 |         19 |        165 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\home.blade.php                                       | PHP        |        299 |          0 |         26 |        325 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\layouts\app.blade.php                                | PHP        |        384 |          7 |         63 |        454 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\mypage.blade.php                                     | PHP        |        102 |          5 |         15 |        122 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\policies.blade.php                                   | PHP        |         96 |          0 |         17 |        113 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\recommended.blade.php                                | PHP        |         99 |          6 |         14 |        119 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\reservations\calendar.blade.php                      | PHP        |         98 |          1 |         15 |        114 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\reservations\create.blade.php                        | PHP        |         42 |          0 |         11 |         53 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\reservations\index.blade.php                         | PHP        |        143 |          0 |          9 |        152 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\reservations\show.blade.php                          | PHP        |         31 |          0 |          8 |         39 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\views\welcome.blade.php                                    | PHP        |         35 |          0 |         13 |         48 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\routes\console.php                                                   | PHP        |          6 |          0 |          3 |          9 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\routes\web.php                                                       | PHP        |         47 |          2 |         24 |         73 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\tailwind.config.js                                                   | JavaScript |         18 |          1 |          2 |         21 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\tests\Feature\ExampleTest.php                                        | PHP        |         11 |          4 |          5 |         20 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\tests\TestCase.php                                                   | PHP        |          6 |          1 |          4 |         11 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\tests\Unit\ExampleTest.php                                           | PHP        |         10 |          3 |          4 |         17 |
| c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\vite.config.js                                                       | JavaScript |         27 |          0 |          2 |         29 |
| Total                                                                                                                   |            |     35,336 |      4,807 |      5,072 |     45,215 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
